ticker,total_pnl_contribution,asset_trade_sharpe,trade_count,win_rate,avg_holding_days,avg_entry_weight,anchor_asset,drag_asset,inert_asset
XLK,0.037892675709049556,1.2005217347730182,22.0,0.5909090909090909,1.6363636363636365,0.2835031947058966,True,False,False
XLU,0.030328747059808606,1.5193781137028106,18.0,0.6666666666666666,1.6111111111111112,0.27845516998133835,True,False,False
XLY,0.022776078963463627,1.4125730173992102,18.0,0.7222222222222222,1.6666666666666667,0.2805373664986128,True,False,False
XLE,0.021087453056526075,0.4041533095399974,15.0,0.6666666666666666,1.6,0.2766502965154182,True,False,False
XLP,0.012062030563213862,0.5535754379772997,22.0,0.6363636363636364,1.9545454545454546,0.27441600610390765,True,False,False
XLRE,0.00802739756089342,0.4895486821193062,15.0,0.6,1.8666666666666667,0.2791489323361475,True,False,False
XLV,0.00772847585413514,0.7129621652733629,20.0,0.55,1.65,0.269670618281525,False,False,False
XLB,0.005711313328354677,0.33367615405032913,22.0,0.7272727272727273,1.5909090909090908,0.28179957937358124,True,False,False
XLI,-0.007722300334206207,-0.3227180641947893,18.0,0.4444444444444444,1.8888888888888888,0.27359519568628615,False,True,False
XLF,-0.010421748905779581,-0.2650107148212651,17.0,0.5294117647058824,1.9411764705882353,0.2716737230005072,False,True,False
XLC,-0.016787973725679785,-0.7677471240536404,20.0,0.5,1.9,0.2787315835798454,False,True,False
